brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,car_age,accident_binary,clean_title_binary,brand_enc,fuel_type_enc,transmission_enc,ext_col_enc,int_col_enc,price_category,cluster_KMeans,cluster_Agglomerative,cluster_DBSCAN,cluster_MeanShift,cluster,cluster_label
Ford,Utility Police Interceptor Base,2013,51000,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,10300.0,13,1,1,12,1,14,20,10,Budget,6,4,0,2,6,
Chevrolet,S-10 LS,2000,133510,E85 Flex Fuel,120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability,A/T,Blue,Black,None reported,Yes,4500.0,26,0,1,8,1,31,29,10,Budget,8,0,-1,2,8,Standard
Audi,Q5 2.0T Premium Plus,2017,81880,E85 Flex Fuel,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,8-Speed Automatic,Mythos Black Metallic,Black,None reported,Yes,21375.0,9,0,1,3,1,26,158,10,Mid-Range,6,4,1,2,6,
Bentley,Continental GTC Base,2011,20200,E85 Flex Fuel,552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,None reported,Yes,79950.0,15,0,1,5,1,14,20,10,Premium,6,4,1,2,6,
Ford,Utility Police Interceptor Base,2013,105000,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Black,At least 1 accident or damage reported,Yes,6600.0,13,1,1,12,1,31,263,10,Budget,6,4,0,2,6,
Chevrolet,Express 1500 Work Van,2011,93009,E85 Flex Fuel,5.3L V8 16V MPFI OHV Flexible Fuel,4-Speed Automatic,Summit White,Medium Pewter,None reported,Yes,22495.0,15,0,1,8,1,7,241,77,Mid-Range,6,4,1,2,6,
Ford,E150 XLT,2013,162100,E85 Flex Fuel,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,4-Speed A/T,Black,Gray,None reported,Yes,12500.0,13,0,1,12,1,6,20,57,Budget,6,4,1,2,6,
Ford,Transit-350 XL,2018,95000,E85 Flex Fuel,275.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,None reported,Yes,43000.0,8,0,1,12,1,31,263,57,Premium,6,4,1,2,6,
Chevrolet,Avalanche LTZ,2013,98000,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,27499.0,13,1,1,8,1,14,223,10,Mid-Range,6,4,0,2,6,
Lincoln,Navigator Base,2009,191775,E85 Flex Fuel,310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,9750.0,17,1,1,25,1,14,263,9,Budget,1,4,-1,2,1,Economy
Ford,F-250 Lariat,2019,35597,E85 Flex Fuel,6.2L V8 16V MPFI SOHC Flexible Fuel,6-Speed Automatic,Black,Black,None reported,Unknown,47756.0,7,0,0,12,1,15,20,10,Premium,3,2,-1,3,3,
